SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,eOFF_RATING,OFF_RATING,sp_work_OFF_RATING,eDEF_RATING,DEF_RATING,sp_work_DEF_RATING,eNET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,ePACE,PACE,sp_work_PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,eOFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,eDEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,eNET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,ePACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801203,2019-04-07T00:00:00,BOS vs. ORL,L,35,101,101.3,101.3,109.1,110.8,110.8,-8.1,-9.5,-9.5,0.316,2,21.4,0.026,0.121,0.07,10.7,0.579,0.592,0.234,103.06,102.07,102.07,0.127,9,19,9,19,0.474,1,38,38,38,26,53,55,55,43,46,46,53,52,52,28,39,37,41,26,32,44,28,31,56,30,31,31,48,31,27,31,27,38
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801183,2019-04-05T00:00:00,BOS @ IND,W,27,118.5,119.3,119.3,101,103.6,103.6,17.4,15.7,15.7,0.3,0,28.6,0,0.1,0.058,0,0.536,0.571,0.227,102.01,100.41,100.41,0.131,7,14,7,14,0.5,1,1,1,1,61,23,24,24,27,27,27,17,21,21,35,64,19,47,35,48,1,36,39,57,35,44,44,45,45,53,45,53,26
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801170,2019-04-03T00:00:00,BOS @ MIA,W,32.4,114.8,117.9,117.9,109.3,111.9,111.9,5.5,6,6,0.211,2,14.8,0,0.026,0.015,7.4,0.5,0.542,0.258,101.88,99.36,99.36,0.072,8,19,8,19,0.421,1,1,1,1,47,30,26,26,44,47,47,42,36,36,56,39,59,47,66,66,26,44,45,45,36,51,51,63,39,27,39,27,50
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801153,2019-04-01T00:00:00,BOS vs. MIA,W,32.5,120.1,121.7,121.7,97.5,98.5,98.5,22.6,23.2,23.2,0.15,0.5,10,0.027,0.219,0.116,20,0.5,0.578,0.333,102.3,101.09,101.09,0.114,7,19,7,19,0.368,1,1,1,1,45,19,19,19,20,22,22,14,12,12,64,63,63,40,5,7,66,44,37,11,34,37,37,53,45,27,45,27,57
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801130,2019-03-29T00:00:00,BOS vs. IND,W,35.1,118.5,122.5,122.5,103.6,101.4,101.4,14.9,21.1,21.1,0.217,5,16.7,0,0.056,0.029,3.3,0.568,0.62,0.316,97.68,97.08,97.08,0.164,11,22,11,22,0.5,1,1,1,1,24,22,17,17,31,24,24,22,14,14,52,11,53,47,59,61,6,32,27,17,61,64,64,32,16,19,16,19,26
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801100,2019-03-24T00:00:00,BOS vs. SAS,L,33.8,91.4,92.9,92.9,114.4,114.5,114.5,-22.9,-21.6,-21.6,0.522,12,40,0,0.063,0.027,3.3,0.324,0.324,0.225,99.47,98.65,98.65,0.082,5,17,5,17,0.294,1,38,38,38,36,67,65,65,51,52,52,65,63,63,6,1,5,47,56,63,6,64,65,59,54,57,57,61,59,38,59,38,64
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801087,2019-03-23T00:00:00,BOS @ CHA,L,34.7,107.3,109.1,109.1,118,123.7,123.7,-10.7,-14.6,-14.6,0.316,2,18.2,0,0.171,0.088,9.1,0.609,0.626,0.325,109.21,105.78,105.78,0.165,12,23,12,23,0.522,1,38,38,38,31,44,40,40,56,62,62,54,55,55,28,39,46,47,11,20,37,24,26,14,7,13,13,31,9,17,9,17,24
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801067,2019-03-20T00:00:00,BOS @ PHI,L,35.7,109,112.2,112.2,116.3,117.1,117.1,-7.3,-4.9,-4.9,0.2,1.33,10,0.047,0.156,0.102,7.5,0.466,0.532,0.424,102.64,100.84,100.84,0.17,12,29,12,29,0.414,1,38,38,38,21,41,35,35,53,54,54,51,51,51,58,52,63,20,17,15,28,53,48,1,33,41,41,28,9,2,9,2,51
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801052,2019-03-18T00:00:00,BOS vs. DEN,L,36.2,99.3,101.3,101.3,100.7,105.1,105.1,-1.5,-3.8,-3.8,0.2,4,12.9,0.023,0.105,0.062,3.2,0.478,0.566,0.297,108.79,105.48,105.48,0.196,10,23,10,23,0.435,1,38,38,38,14,56,56,56,25,30,30,47,50,50,58,17,61,45,34,43,5,51,41,26,8,15,15,16,23,17,23,17,48
2018-19,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,0021801034,2019-03-16T00:00:00,BOS vs. ATL,W,35.9,114.8,124.1,124.1,105.3,107.1,107.1,9.5,17,17,0.391,3,24.3,0.049,0.188,0.124,8.1,0.583,0.592,0.292,117.21,111.7,111.7,0.195,12,24,12,24,0.5,1,1,1,1,18,31,14,14,36,39,39,32,18,18,19,25,30,16,6,5,33,27,30,29,2,5,5,17,9,12,9,12,26
